,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,label_bike,label_stairs,label_stand,label_walk
0.0,0.2891304347826087,-0.024347826086956518,0.7686956521739132,0.4804347826086956,-1.8565217391304345,0.9456521739130433,7.012608695652173,4.826521739130435,0.424782608695652,1012.1186956521739,-71.75478260869563,62.31391304347825,-30.10695652173912,114.08521739130431,29.71521739130435,-25.00782608695653,69.73,0,0,0,1
0.25,0.6021739130434784,-0.008260869565217384,0.6078260869565217,0.6273913043478261,-1.024782608695652,1.0291304347826087,4.84608695652174,2.299130434782609,-3.409565217391305,1012.0452173913045,-62.783478260869586,50.556521739130446,-13.142608695652173,107.00869565217393,15.066521739130438,5.755217391304348,77.31347826086959,0,0,0,1
0.5,0.7854545454545455,-0.48454545454545445,0.295,1.4781818181818187,-2.1204545454545447,2.682272727272728,3.9859090909090913,-2.343636363636364,-5.818636363636363,1011.970909090909,-41.010000000000005,47.70545454545454,0.6763636363636363,76.63954545454547,12.163181818181817,33.172272727272734,83.29272727272726,0,0,0,1
0.75,0.6734782608695654,-0.7408695652173911,0.17130434782608694,-0.25565217391304346,-1.2404347826086957,2.845217391304347,-0.2630434782608696,-2.1326086956521735,-2.721304347826088,1011.9717391304347,-24.049565217391304,60.667826086956495,3.0104347826086952,44.03521739130434,33.48173913043478,57.56739130434782,84.4569565217391,0,0,0,1
1.0,0.013809523809523822,-1.126190476190476,0.05619047619047621,1.2004761904761903,-1.8033333333333335,1.2076190476190478,-3.2061904761904763,-1.7852380952380953,-2.641904761904762,1012.0423809523808,3.4657142857142857,50.474285714285706,2.7600000000000002,249.47238095238103,64.67571428571429,22.87571428571428,85.32142857142858,0,0,0,1
1.25,-0.17181818181818176,-1.1304545454545452,0.18045454545454545,-0.37409090909090903,0.6481818181818183,0.07272727272727272,-4.148636363636363,-0.72,-0.11681818181818183,1011.9677272727272,9.643636363636363,48.125454545454545,2.290909090909091,336.03136363636366,74.465,10.607727272727274,91.45000000000002,0,0,0,1
1.5,-0.036521739130434785,-1.0169565217391305,-0.07173913043478261,-0.5000000000000001,-0.19043478260869567,0.05913043478260869,-1.5291304347826087,0.17565217391304347,-1.4717391304347829,1012.0326086956525,9.900000000000004,47.56695652173913,4.760869565217392,331.29260869565223,84.03913043478262,5.788260869565217,96.5,0,0,0,1
1.75,-0.2122727272727273,-0.9968181818181819,-0.09954545454545456,-0.16181818181818178,-0.12136363636363635,0.010454545454545463,-2.1750000000000003,0.0659090909090909,0.027272727272727285,1012.0481818181815,10.47818181818182,46.90909090909091,7.876363636363636,319.9372727272727,94.37727272727271,-0.5495454545454546,90.89,0,0,0,1
2.0,-0.18826086956521743,-1.0039130434782606,-0.12130434782608698,-0.06565217391304348,-0.74,-0.33869565217391306,-1.191739130434783,-0.1008695652173913,-0.021304347826086974,1012.0143478260866,10.00434782608696,47.248695652173915,7.040869565217393,308.6030434782609,96.95739130434781,-3.661304347826086,84.9234782608696,0,0,0,1
2.25,-0.11727272727272732,-0.9972727272727275,-0.014090909090909098,0.15181818181818174,-1.225,0.033636363636363624,-0.5709090909090908,-0.22909090909090912,0.32545454545454555,1012.0168181818183,7.709999999999997,48.63,1.8054545454545456,297.22772727272735,94.77045454545456,-2.653636363636364,82.12999999999998,0,0,0,1
2.5,0.0,-0.9849999999999999,-0.1481818181818182,-0.2195454545454546,-1.4463636363636365,0.09,0.45681818181818185,0.2790909090909091,-1.182727272727273,1012.0472727272729,8.296363636363635,48.357272727272715,-4.543636363636363,277.8404545454546,95.2331818181818,-4.29909090909091,80.0527272727273,0,0,0,1
2.75,0.014782608695652177,-1.0104347826086957,-0.040434782608695666,-0.05652173913043478,-1.323913043478261,0.3595652173913043,1.0960869565217393,-0.1908695652173913,0.07086956521739135,1012.0613043478261,6.370434782608695,47.74434782608696,-9.926086956521742,254.18565217391307,97.13652173913043,-6.321304347826088,77.63913043478264,0,0,0,1
3.0,-0.19454545454545455,-1.0713636363636365,-0.16727272727272727,-0.9477272727272728,-1.2736363636363637,-0.05045454545454542,-1.1095454545454546,-0.15636363636363637,-1.5863636363636362,1012.0990909090907,5.334545454545454,47.41636363636364,-13.107272727272731,230.21545454545458,100.44227272727271,-9.583181818181815,76.90000000000003,0,0,0,1
3.25,-0.24181818181818182,-0.8204545454545454,-0.21181818181818182,-1.1945454545454548,-1.4954545454545451,-0.9609090909090909,-1.8050000000000004,0.4327272727272727,1.968181818181818,1012.1018181818182,-4.197272727272726,52.37181818181818,-5.659090909090911,219.6745454545454,109.02499999999999,-4.4768181818181825,75.32999999999998,0,0,0,1
3.5,-0.18217391304347821,-0.8295652173913041,-0.5778260869565216,-0.2552173913043479,-0.8365217391304347,-0.06999999999999999,-1.3021739130434782,0.4165217391304349,-0.7678260869565219,1011.9778260869564,-8.731304347826086,53.88782608695652,-1.604347826086956,196.97347826086957,115.73782608695653,-8.140434782608697,81.89347826086957,0,0,0,1
3.75,-0.08772727272727275,-0.9013636363636361,-0.1513636363636364,1.0277272727272726,0.3409090909090909,-0.42545454545454536,0.045,0.3850000000000001,2.5645454545454545,1012.0700000000004,-12.77727272727273,53.67545454545454,-3.0600000000000005,193.37136363636364,112.70090909090908,-6.8213636363636345,86.25499999999998,0,0,0,1
4.0,-0.022173913043478263,-0.9834782608695657,-0.04217391304347826,1.0360869565217392,0.8243478260869569,0.17391304347826092,0.6426086956521739,0.14782608695652172,-0.2952173913043478,1012.0678260869563,-7.841739130434784,45.53478260869564,-15.798260869565217,208.7465217391305,91.24608695652171,-4.63608695652174,88.65739130434784,0,0,0,1
4.25,-0.13636363636363635,-1.2945454545454547,-0.15045454545454548,-1.294090909090909,1.0972727272727274,-0.21090909090909093,-0.07818181818181805,-2.4277272727272727,-1.4272727272727275,1011.9954545454549,4.7727272727272725,28.37727272727273,-19.115454545454547,214.77863636363634,88.81954545454545,-4.454090909090909,89.12454545454547,0,0,0,1
