Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
20ffab2d-c5c2-4296-8a25-6264a28350b9,2019-06-14 06:40:15,Running,,5.12,40:19,7:53,7.62,308.0,34,,"","",2019-06-14-064015.gpx
19c43b36-a3d2-4020-94c6-a35ac74abf74,2019-06-12 06:39:33,Running,,5.29,40:23,7:38,7.86,332.0,48,,"","",2019-06-12-063933.gpx
33ac7d10-9bca-4672-9946-d572211ee51c,2019-06-09 13:23:24,Running,,3.55,26:24,7:26,8.07,215.0,27,,"","",2019-06-09-132324.gpx
3ac222b8-5c6c-4b70-a23c-bebd27427ae0,2019-06-09 12:16:12,Running,,3.24,23:56,7:23,8.13,198.0,26,,"","",2019-06-09-121612.gpx
46aa523c-c3f9-4e7e-b259-9c4a5c19e8e5,2019-06-04 06:45:24,Running,,4.79,40:06,8:22,7.17,290.0,32,,"","",2019-06-04-064524.gpx
02501e9d-0e56-47e4-b3a0-a199d3a5bbb2,2019-05-26 10:01:36,Running,,6.03,46:01,7:38,7.86,381.0,74,,"","",2019-05-26-100136.gpx
643c0ef7-e51b-4b50-826b-d132b7959d2e,2019-05-21 06:41:36,Running,,6.08,47:10,7:45,7.73,364.0,37,,"","",2019-05-21-064136.gpx
b43fd273-3449-4a6c-9a60-bc6405d19de0,2019-05-19 11:19:38,Running,,9.60,1:21:56,8:32,7.03,564.0,77,,"","",2019-05-19-111938.gpx
9ededd05-c8c9-456d-ab4d-a83dc8244028,2019-05-17 06:50:18,Running,,3.86,33:06,8:35,6.99,220.0,30,,"","",2019-05-17-065018.gpx
5ee4d5f9-7069-44a2-a36e-c24e0302b400,2019-05-14 06:35:53,Running,,5.62,43:17,7:42,7.80,337.0,30,,"","",2019-05-14-063553.gpx
009d5185-d803-4533-af58-8198ba06da8b,2019-05-12 13:24:20,Running,,5.41,42:17,7:49,7.68,335.0,61,,"","",2019-05-12-132420.gpx
38ec1fa4-6361-4e62-8410-f22ab3e103cc,2019-05-05 10:14:58,Running,,11.66,1:37:27,8:22,7.18,758.0,321,,"","",2019-05-05-101458.gpx
19fdb5a1-4b8e-4490-b362-d2c21ea07ffe,2019-04-30 19:01:26,Running,,3.23,30:05,9:18,6.45,182.0,19,,"","",2019-04-30-190126.gpx
1e1c8bd7-f800-415f-84be-11a9a13cb2c1,2019-04-28 12:59:13,Running,,7.23,57:13,7:55,7.58,440.0,85,,"","",2019-04-28-125913.gpx
7204bd71-ee96-454e-ac1d-1fd993ebec41,2019-04-23 06:48:11,Running,,5.06,40:16,7:58,7.54,300.0,28,,"","",2019-04-23-064811.gpx
