
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,
0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-∞,
0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-∞,
0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.14,1008.62,0.00,0.00,0.00,0.00,0.00,0.00,-∞,
0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.14,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.14,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.14,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.14,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.06,-0.01,-0.01,1.02,0.00,0.00,0.00,0.00,-0.01,0.14,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.06,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.00,-0.01,0.14,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.06,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.00,-0.01,0.14,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.06,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.07,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.07,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.08,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.08,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.09,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.09,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.10,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.10,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.11,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.11,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.12,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.12,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.12,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,-0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.12,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.13,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.13,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.62,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.14,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.14,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.14,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.15,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.15,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.16,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.16,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.17,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.17,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.18,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.18,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.18,-0.01,-0.01,1.02,-0.00,0.00,-0.00,0.01,0.01,0.16,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.18,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.19,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.19,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.20,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.20,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.21,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.21,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.22,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.22,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.23,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.23,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,0.00,0.00,0.00,183.23,0.44,-0.63,-∞,
0.24,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.24,-0.01,-0.01,1.02,-0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.24,-0.01,-0.01,1.02,0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.24,-0.01,-0.01,1.02,0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.24,-0.01,-0.01,1.02,0.00,0.00,-0.00,-0.01,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.25,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
0.25,-0.01,-0.01,1.02,0.00,0.00,-0.00,0.00,0.01,0.15,1008.60,2.76,-17.94,-30.72,183.23,0.44,-0.63,-∞,
